案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,高雄市,高雄市左營區,左營區,"29,870","64,229","94,099","4,131","98,230","161,367"
第14案,高雄市,高雄市楠梓區,楠梓區,"28,203","58,257","86,460","5,454","91,914","153,132"
第14案,高雄市,高雄市三民區,三民區,"56,428","107,656","164,084","7,746","171,830","289,519"
第14案,高雄市,高雄市新興區,新興區,"9,020","16,882","25,902","1,319","27,221","44,355"
第14案,高雄市,高雄市前金區,前金區,"4,649","9,216","13,865",685,"14,550","23,928"
第14案,高雄市,高雄市苓雅區,苓雅區,"28,522","57,208","85,730","4,100","89,830","146,786"
第14案,高雄市,高雄市前鎮區,前鎮區,"29,186","60,498","89,684","5,513","95,197","161,797"
第14案,高雄市,高雄市旗津區,旗津區,"3,934","8,078","12,012",969,"12,981","24,860"
第14案,高雄市,高雄市小港區,小港區,"24,368","49,715","74,083","3,952","78,035","132,733"
第14案,高雄市,高雄市鳳山區,鳳山區,"55,389","114,830","170,219","9,270","179,489","300,510"
第14案,高雄市,高雄市林園區,林園區,"9,748","21,186","30,934","1,974","32,908","59,129"
第14案,高雄市,高雄市大寮區,大寮區,"16,625","35,779","52,404","3,199","55,603","97,309"
第14案,高雄市,高雄市大樹區,大樹區,"5,867","13,398","19,265","1,310","20,575","36,772"
第14案,高雄市,高雄市大社區,大社區,"5,495","10,662","16,157","1,062","17,219","30,046"
第14案,高雄市,高雄市仁武區,仁武區,"13,145","28,120","41,265","1,851","43,116","73,611"
第14案,高雄市,高雄市鳥松區,鳥松區,"7,872","14,815","22,687","1,215","23,902","39,191"
第14案,高雄市,高雄市岡山區,岡山區,"14,572","32,998","47,570","2,532","50,102","81,244"
第14案,高雄市,高雄市橋頭區,橋頭區,"6,068","12,780","18,848","1,400","20,248","32,565"
第14案,高雄市,高雄市燕巢區,燕巢區,"4,238","9,634","13,872","1,058","14,930","26,012"
第14案,高雄市,高雄市田寮區,田寮區,903,"2,007","2,910",302,"3,212","6,671"
第14案,高雄市,高雄市阿蓮區,阿蓮區,"3,946","8,606","12,552",756,"13,308","24,534"
第14案,高雄市,高雄市路竹區,路竹區,"7,707","16,540","24,247","1,715","25,962","43,850"
第14案,高雄市,高雄市湖內區,湖內區,"4,290","9,315","13,605",808,"14,413","25,729"
第14案,高雄市,高雄市茄萣區,茄萣區,"4,092","9,081","13,173","1,016","14,189","26,212"
